ImageId;YRelW;XRelH;utility
333;0.956522;0.689744;0.833583
333;0.133333;0.752015;1.000000
333;0.892754;0.707326;1.000000
333;0.669565;0.435531;0.899990
334;0.498551;0.786447;0.952395
334;0.101449;0.384982;0.932393
334;0.568116;0.480952;0.941894
334;0.700000;0.250549;1.000000
334;0.685507;0.695604;0.993199
334;0.560145;0.706227;1.000000
334;0.352899;0.434799;0.899990
335;0.165942;0.786081;0.953495
335;0.234058;0.480952;0.942194
335;0.876812;0.457875;1.000000
335;0.367391;0.250549;1.000000
335;0.350000;0.695971;0.993199
335;0.223913;0.705861;1.000000
335;0.186957;0.454945;0.899990
336;0.544203;0.458608;1.000000
336;0.118116;0.249817;1.000000
336;0.059420;0.697436;0.953895
337;0.210870;0.458242;1.000000
337;0.834058;0.718681;1.000000
338;0.915217;0.619780;0.772577
338;0.502174;0.717216;1.000000
338;0.909420;0.341392;0.799980
338;0.924638;0.743590;0.947995
338;0.557246;0.617582;0.699970
338;0.911594;0.341026;0.599960
339;0.639130;0.615751;1.000000
339;0.938406;0.389377;0.548255
339;0.168841;0.718315;1.000000
